key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_000","A pleasure to see you again. Have you come to meet more Yo-kai? Or perhaps browse my array of special goods?"
1,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_100_000","Well if it isn't the master weapons collector <hex:020815E905FF08>herself<hex:FF08>himself<hex:03>! How may I be of service to you?"
2,"TEXT_FESYKWMEDALEXCHANGE_00348_Q1_000_001","What would you like to do?"
3,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_001","Purchase minions."
4,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_002","Purchase weapons."
5,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_003","Small talk."
6,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_004","Cancel."
7,"TEXT_FESYKWMEDALEXCHANGE_00348_Q2_000_001","Which minion will you choose?<hex:02100103>(Yo-kai Medals Required: <hex:022003E80203>, Bag: <hex:022003E80303>)"
8,"TEXT_FESYKWMEDALEXCHANGE_00348_A2_000_001","<hex:02280FFF0A>Companion<hex:E8020103>."
9,"TEXT_FESYKWMEDALEXCHANGE_00348_A2_000_002","Cancel."
10,"TEXT_FESYKWMEDALEXCHANGE_00348_Q6_000_001","Choose this minion?"
11,"TEXT_FESYKWMEDALEXCHANGE_00348_A6_000_001","Yes"
12,"TEXT_FESYKWMEDALEXCHANGE_00348_A6_000_002","No"
13,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_002","Why, you've befriended all the Yo-kai I've brought with me! Might it be said that you're quite taken by them? If so, I suggest you come and visit my homeland where you can find more. So many more."
14,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_003","Hmm... You appear to be lacking the required medals. Apologies, but business is business─I'll have to ask you to come back when you've found some more."
15,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_100_003","Yo-kai Medals can be obtained by completing FATEs while equipped with the Yo-kai Watch."
16,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_200_003","Yo-kai Medals can be found at FATEs in the following areas:"
17,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_300_003","The Black Shroud: Central, East, South, and North<hex:02100103>La Noscea: Middle, Lower, Western, Upper, and Outer<hex:02100103>Thanalan: Central, Western, Eastern, and Southern<hex:02100103>Coerthas Western Highlands, the Sea of Clouds, the Dravanian Forelands, the Churning Mists, and the Dravanian Hinterlands"
18,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_400_003","Azys Lla, the Fringes, the Peaks, the Lochs, the Ruby Sea, Yanxia, the Azim Steppe"
19,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_000_004","Unable to obtain <hex:02280AFF05>Item<hex:E8020103> due to insufficient inventory space or having already obtained the item."
20,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_100_004","Let's get you acquainted, then. Meet your new friend, <hex:02280FFF0A>Companion<hex:E8020103>! I hope you two will get along!"
21,"TEXT_FESYKWMEDALEXCHANGE_00348_Q3_000_001","Which weapon will you purchase?"
22,"TEXT_FESYKWMEDALEXCHANGE_00348_A3_000_001","<hex:0208F201A4E4E802F23B68FF10>Paladin's Sword<hex:FFF20189><hex:0208F20183E4E802F23B69FF0E>Monk's Fists.<hex:FFF2016A><hex:0208F20164E4E802F23B6AFF0F>Warrior's Axe.<hex:FFF2014A><hex:0208F20144E4E802F23B6BFF11>Dragoon's Spear.<hex:FFF20128><hex:0208F20122E4E802F23B6CFF0C>Bard's Bow.<hex:FFF2010B><hex:0208F20105E4E802F23B6DFF10>Ninja's Knives.<hex:FFF0EB><hex:0208F0E6E4E802F23B6EFF18>Dark Knight's Claymore.<hex:FFC6><hex:0208C2E4E802F23B6FFF17>Machinist's Musketoon.<hex:FFA2><hex:02089EE4E802F23B70FF13>White Mage's Cane.<hex:FF82><hex:02087EE4E802F23B71FF12>Black Mage's Rod.<hex:FF63><hex:02085FE4E802F23B72FF15>Summoner's Grimoire.<hex:FF41><hex:02083DE4E802F23B73FF11>Scholar's Codex.<hex:FF23><hex:02081FE4E802F23B74FF15>Astrologian's Globe.<hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:020815E4E80301FF01><hex:FF0D> and Shield.<hex:03> (<hex:02280AFF05>Item<hex:E8040103>: <hex:022003E80503>/<hex:022003E80603>)"
23,"TEXT_FESYKWMEDALEXCHANGE_00348_A3_000_002","Cancel."
24,"TEXT_FESYKWMEDALEXCHANGE_00348_Q5_000_001","Purchase this weapon?"
25,"TEXT_FESYKWMEDALEXCHANGE_00348_A5_000_001","Yes"
26,"TEXT_FESYKWMEDALEXCHANGE_00348_A5_000_002","No"
27,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_005","I'm afraid you'll have to come back when you acquire some Legendary Medals. I understand obtaining such rare pieces can be difficult, but think of the marvelous rewards you will reap for your efforts! I believe in you!"
28,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_100_005","Legendary Yo-kai Medals can be obtained, albeit at a low probability, by participating in FATEs designated in the Yo-kai Medallium while accompanied by the Yo-kai minion designated on the medal."
29,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_000_006","Cannot obtain <hex:02280AFF05>Item<hex:E8020103> and <hex:02280AFF05>Item<hex:E8030103> due to insufficient inventory space or having already obtained the items."
30,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_100_006","Cannot obtain <hex:02280AFF05>Item<hex:E8020103> due to insufficient inventory space or having already obtained the item."
31,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_007","Sword and shield, eh? That's my favorite kind. Here you are, your <hex:02280AFF05>Item<hex:E8020103> and <hex:02280AFF05>Item<hex:E8030103>."
32,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_008","Here you are, your new weapon! Go on, try it out!"
33,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_000_009","The number of Legendary Yo-kai Medals required to purchase Yo-kai weapons from Nohi has increased. Participate in FATEs to earn more medals."
34,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_031","Why did I choose to travel to Eorzea? Aside from business, I also came to visit a friend of mine. He's prone to wandering himself, but I always know when he's close by the jangling sound he makes when he walks."
35,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_032","Speaking of jangling, I found my coin pouch rather empty after I arrived at the Gold Saucer. I must have dropped some medals from my homeland when I made my way here after searching for Whisper."
36,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_000_033","Yo-kai Medals can be obtained by completing FATEs while equipped with the Yo-kai Watch."
37,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_100_033","Yo-kai Medals can be found at FATEs in the following areas:"
