key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,Name,Description,Animation{Start},Animation{End},Icon,ClassJob,ClassJobCategory,ClassJobLevel,QuestRequirement,Specialist,,Cost,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL
offset,0,4,44,46,48,55,52,53,8,56,50,54,12,16,20,24,28,32,36,40
int32,str,str,ActionTimeline,ActionTimeline,Image,ClassJob,ClassJobCategory,byte,Quest,bit&01,uint16,byte,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction
100000,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100001,"Basic Synthesis","Increases <hex:024804F201FA03><hex:024904F201FB03>progress<hex:0249020103><hex:0248020103>.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Efficiency:<hex:0249020103><hex:0248020103> <hex:020812E4E94509FF0B><hex:020807E0E94620796503><hex:6503>%<hex:02100103><hex:024804F201F803><hex:024904F201F903>Success Rate:<hex:0249020103><hex:0248020103> 100%",239,246,1501,8,9,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100002,"Basic Touch","Increases <hex:024804F201FA03><hex:024904F201FB03>quality<hex:0249020103><hex:0248020103>.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Efficiency:<hex:0249020103><hex:0248020103> 100%<hex:02100103><hex:024804F201F803><hex:024904F201F903>Success Rate:<hex:0249020103><hex:0248020103> 100%",240,247,1502,8,9,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100003,"Master's Mend","Restores item <hex:024804F201FA03><hex:024904F201FB03>durability<hex:0249020103><hex:0248020103> by 30.",242,249,1952,8,9,7,0,False,0,88,100003,100017,100032,100077,100047,100062,100092,100107
100004,"Standard Touch","Increases <hex:024804F201FA03><hex:024904F201FB03>quality<hex:0249020103><hex:0248020103>.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Efficiency:<hex:0249020103><hex:0248020103> 125%<hex:02100103><hex:024804F201F803><hex:024904F201F903>Success Rate:<hex:0249020103><hex:0248020103> 100%<hex:02100103><hex:024804F201F803><hex:024904F201F903>Combo Action: <hex:0249020103><hex:0248020103><hex:024804F201F403><hex:024904F201F503>Basic Touch<hex:0249020103><hex:0248020103><hex:02100103><hex:024804F201F803><hex:024904F201F903>Combo Bonus: <hex:0249020103><hex:0248020103>CP cost reduced to 18",240,247,1516,8,9,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100005,"Master's Mend II","Restores item durability by 60.",242,249,786,-1,0,1,0,False,0,0,100005,100019,100035,100079,100049,100065,100094,100110
100006,"Brand of Wind","Increases progress. Progress doubles when recipe affinity is wind.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Efficiency:<hex:0249020103><hex:0248020103> 100% (200%)<hex:02100103><hex:024804F201F803><hex:024904F201F903>Success Rate:<hex:0249020103><hex:0248020103> 90%",239,246,786,-1,0,1,0,False,0,0,100006,0,0,0,0,0,0,0
100007,"Standard Synthesis","Increases progress.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Efficiency:<hex:0249020103><hex:0248020103> 150%<hex:02100103><hex:024804F201F803><hex:024904F201F903>Success Rate:<hex:0249020103><hex:0248020103> 90%",239,246,786,-1,0,1,0,False,0,0,100007,100021,100037,100080,100051,100067,100096,100111
100008,"Advanced Touch","Increases quality.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Efficiency:<hex:0249020103><hex:0248020103> 150%<hex:02100103><hex:024804F201F803><hex:024904F201F903>Success Rate:<hex:0249020103><hex:0248020103> 90%",240,247,786,-1,0,1,0,False,0,0,100008,100022,100038,100081,100052,100068,100097,100112
100009,"Byregot's Blessing","Increases quality. <hex:024804F201FA03><hex:024904F201FB03>Inner Quiet<hex:0249020103><hex:0248020103> effect ends upon use.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Efficiency:<hex:0249020103><hex:0248020103> 100% plus 20% for each bonus to control granted by <hex:024804F201FA03><hex:024904F201FB03>Inner Quiet<hex:0249020103><hex:0248020103><hex:02100103><hex:024804F201F803><hex:024904F201F903>Success Rate:<hex:0249020103><hex:0248020103> 90%",240,247,786,-1,0,1,0,False,0,0,100009,0,0,0,0,0,0,0
100010,"Observe","Do nothing for one step.",11586,11587,1954,8,9,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
