key,0
#,Text
offset,0
int32,str
0,""
1," Gathering Rate +<hex:022003E80203>%"
2," Gathering Rate x <hex:022003E80203>"
3,"<hex:020827E803FF0B> Available<hex:FF17>Gathering Rate <hex:022003E80203>%<hex:03>"
4," High-level Item Gathering Rate +<hex:022003E80203>%"
5," High-level Item Gathering Rate x <hex:022003E80203>"
6," High-level Item Gathering Rate <hex:022003E80203>%"
7," Low-level Item Gathering Rate +<hex:022003E80203>%"
8," Low-level Item Gathering Rate x <hex:022003E80203>"
9," Low-level Item Gathering Rate <hex:022003E80203>%"
10,""
11,""
12,""
13,""
14," Gathering Yield +<hex:022003E80203>"
15," Gathering Yield x <hex:022003E80203>"
16," Gathering Yield = <hex:022003E80203>"
17," Gathering Yield +<hex:022003E80203>～"
18," Gathering Attempts/Integrity +<hex:022003E80203>"
19," Gathering Attempts/Integrity +<hex:022003E80203>～"
20," Hidden Item Discovery x<hex:022003E80203>%"
21,"<hex:020835E803FF17> Collectable Available<hex:FF19> Collectable Unavailable<hex:03>"
22," Gatherer's Boon Chance +<hex:022003E80203>%"
23," Gatherer's Boon Chance +<hex:022003E80203>%～"
24,"Sublime Rate +<hex:022003E80203>% (Requires Maximum Collectability)"
25,"Sublime Rate +<hex:022003E80203>%～ (Requires Maximum Collectability)"
26," Collectability +<hex:022003E80203>～"
27," Meticulous Action Effect Chance +<hex:022003E80203>%～"
28," Scrutiny Effectiveness +<hex:022003E80203>%～"
29," Collector's Intuition Effectiveness +<hex:022003E80203>%～"
30," Collectability +<hex:022003E80203>"
31," Meticulous Action Effect Chance +<hex:022003E80203>%"
32," Scrutiny Effectiveness +<hex:022003E80203>%"
33," Collector's Intuition Effectiveness +<hex:022003E80203>%"
