key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CHRHDY251_04726_SEQ_00","The House Manderville artisan stands ready to facilitate your augmentation request.<hex:02100103>※Changing classes or jobs will prevent progress during this quest."
1,"TEXT_CHRHDY251_04726_SEQ_01","You approach the House Manderville artisan with a request to augment a different Manderville weapon. The ever-enthusiastic craftsman asks only that you supply him with the necessary chunks of complementary chondrite─a substance which is, of course, only available from a particular merchant for a very particular type of currency.<hex:02100103><hex:02100103>※You may not proceed with a class or job that is different from when you accepted this quest.<hex:02100103><hex:02100103>※Chunks of complementary chondrite can be obtained from Jubrunnah at the aetheryte plaza in Radz–at–Han."
2,"TEXT_CHRHDY251_04726_SEQ_02","You make the required meteoritic contribution, and are once more blessed to witness a collaboration of artisanal brilliance. Encouraged by Gerolt's grudging praise, the House Manderville artisan bids you call upon him again should you have other armaments you wish to have augmented."
3,"TEXT_CHRHDY251_04726_SEQ_03",""
4,"TEXT_CHRHDY251_04726_SEQ_04",""
5,"TEXT_CHRHDY251_04726_SEQ_05",""
6,"TEXT_CHRHDY251_04726_SEQ_06",""
7,"TEXT_CHRHDY251_04726_SEQ_07",""
8,"TEXT_CHRHDY251_04726_SEQ_08",""
9,"TEXT_CHRHDY251_04726_SEQ_09",""
10,"TEXT_CHRHDY251_04726_SEQ_10",""
11,"TEXT_CHRHDY251_04726_SEQ_11",""
12,"TEXT_CHRHDY251_04726_SEQ_12",""
13,"TEXT_CHRHDY251_04726_SEQ_13",""
14,"TEXT_CHRHDY251_04726_SEQ_14",""
15,"TEXT_CHRHDY251_04726_SEQ_15",""
16,"TEXT_CHRHDY251_04726_SEQ_16",""
17,"TEXT_CHRHDY251_04726_SEQ_17",""
18,"TEXT_CHRHDY251_04726_SEQ_18",""
19,"TEXT_CHRHDY251_04726_SEQ_19",""
20,"TEXT_CHRHDY251_04726_SEQ_20",""
21,"TEXT_CHRHDY251_04726_SEQ_21",""
22,"TEXT_CHRHDY251_04726_SEQ_22",""
23,"TEXT_CHRHDY251_04726_SEQ_23",""
24,"TEXT_CHRHDY251_04726_TODO_00","<hex:0208F202FDE3E802E803FF29>Obtain chunks of complementary chondrite<hex:FFF202CA>With <hex:0208F2024CE4E80514FF25><hex:02310CFF05>Item<hex:03F196020203> and <hex:02310DFF05>Item<hex:03F29613020203><hex:FFF2021E><hex:0208F20218E4E80515FF11><hex:02310DFF05>Item<hex:03F29601020203><hex:FFF201FE><hex:0208F201F8E4E80516FF11><hex:02310DFF05>Item<hex:03F29602020203><hex:FFF201DE><hex:0208F201D8E4E80517FF11><hex:02310DFF05>Item<hex:03F29603020203><hex:FFF201BE><hex:0208F201B8E4E80518FF11><hex:02310DFF05>Item<hex:03F29604020203><hex:FFF2019E><hex:0208F20198E4E80519FF11><hex:02310DFF05>Item<hex:03F29608020203><hex:FFF2017E><hex:0208F20178E4E8051AFF11><hex:02310DFF05>Item<hex:03F29609020203><hex:FFF2015E><hex:0208F20158E4E8051CFF11><hex:02310DFF05>Item<hex:03F2960A020203><hex:FFF2013E><hex:0208F20138E4E8051DFF11><hex:02310DFF05>Item<hex:03F2960B020203><hex:FFF2011E><hex:0208F20118E4E8051FFF11><hex:02310DFF05>Item<hex:03F29605020203><hex:FFF0FF><hex:0208F0FAE4E80520FF11><hex:02310DFF05>Item<hex:03F29607020203><hex:FFF0E1><hex:0208F0DCE4E80521FF11><hex:02310DFF05>Item<hex:03F29606020203><hex:FFC5><hex:0208C1E4E80522FF11><hex:02310DFF05>Item<hex:03F2960C020203><hex:FFA9><hex:0208A5E4E80523FF11><hex:02310DFF05>Item<hex:03F2960D020203><hex:FF8D><hex:020889E4E80524FF11><hex:02310DFF05>Item<hex:03F2960E020203><hex:FF71><hex:02086DE4E80526FF11><hex:02310DFF05>Item<hex:03F2960F020203><hex:FF55><hex:020851E4E80527FF11><hex:02310DFF05>Item<hex:03F29610020203><hex:FF39><hex:020835E4E80528FF11><hex:02310DFF05>Item<hex:03F29612020203><hex:FF1D><hex:020819E4E80529FF11><hex:02310DFF05>Item<hex:03F29611020203><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03> in your inventory or Armoury Chest, deliver the chunks of complementary chondrite to the House Manderville artisan<hex:03>."
25,"TEXT_CHRHDY251_04726_TODO_01",""
26,"TEXT_CHRHDY251_04726_TODO_02",""
27,"TEXT_CHRHDY251_04726_TODO_03",""
28,"TEXT_CHRHDY251_04726_TODO_04",""
29,"TEXT_CHRHDY251_04726_TODO_05",""
30,"TEXT_CHRHDY251_04726_TODO_06",""
31,"TEXT_CHRHDY251_04726_TODO_07",""
32,"TEXT_CHRHDY251_04726_TODO_08",""
33,"TEXT_CHRHDY251_04726_TODO_09",""
34,"TEXT_CHRHDY251_04726_TODO_10",""
35,"TEXT_CHRHDY251_04726_TODO_11",""
36,"TEXT_CHRHDY251_04726_TODO_12",""
37,"TEXT_CHRHDY251_04726_TODO_13",""
38,"TEXT_CHRHDY251_04726_TODO_14",""
39,"TEXT_CHRHDY251_04726_TODO_15",""
40,"TEXT_CHRHDY251_04726_TODO_16",""
41,"TEXT_CHRHDY251_04726_TODO_17",""
42,"TEXT_CHRHDY251_04726_TODO_18",""
43,"TEXT_CHRHDY251_04726_TODO_19",""
44,"TEXT_CHRHDY251_04726_TODO_20",""
45,"TEXT_CHRHDY251_04726_TODO_21",""
46,"TEXT_CHRHDY251_04726_TODO_22",""
47,"TEXT_CHRHDY251_04726_TODO_23",""
48,"TEXT_CHRHDY251_04726_SYSTEM_000_000","Please note that upon completing the quest “The Next Mander-level,” you will receive a Manderville weapon for <hex:0208B0E4E9450BFF15>an <hex:02280EFF09>ClassJob<hex:E9450103><hex:FF94><hex:020890E4E9450FFF15>an <hex:02280EFF09>ClassJob<hex:E9450103><hex:FF74><hex:020870E4E94506FF15>an <hex:02280EFF09>ClassJob<hex:E9450103><hex:FF54><hex:020850E4E9451BFF15>an <hex:02280EFF09>ClassJob<hex:E9450103><hex:FF34><hex:020830E4E94522FF15>an <hex:02280EFF09>ClassJob<hex:E9450103><hex:FF14>a <hex:02280EFF09>ClassJob<hex:E9450103><hex:03><hex:03><hex:03><hex:03><hex:03>."
49,"TEXT_CHRHDY251_04726_SYSTEM_000_001","Please ensure you have changed to your desired job before speaking with the House Manderville artisan."
50,"TEXT_CHRHDY251_04726_Q1_000_001","What will you do?"
51,"TEXT_CHRHDY251_04726_A1_000_002","Undertake this quest as another job."
