key,0,1
#,Image,Description
offset,4,0
int32,Image,str
0,0,""
1,86801,"<hex:0248020803><hex:0249020403>「南方ボズヤ戦線」は、独自ルールや専用システムが多数盛り込まれたコンテンツです！<hex:02100103>特徴を理解し、ガレマール帝国第IV軍団との戦いに勝利しましょう！！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103><hex:0248020F03>※次ページより、「南方ボズヤ戦線」の特殊ルールの解説が行われます。<hex:02100103>ぜひご一読の上、新たな大規模コンテンツをお楽しみください。<hex:0248020103>"
2,86801,"<hex:0248020803><hex:0249020403>■コンテンツ参加ジョブはレベル80に特殊レベルシンク！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>「南方ボズヤ戦線」は、いずれのジョブであってもレベル71から突入可能です。<hex:02100103>ただし、コンテンツに突入したあとは、いずれのジョブもレベル80へと特殊レベルシンクされます。<hex:02100103>また、どんな装備をしていても、アイテムレベルが最適な状態に調整されますので、<hex:02100103>装備を整える必要はありません。<hex:02100103><hex:02100103><hex:0248020F03>※コンテンツに突入したジョブは、レベル80までのすべてのアクションが使用可能になります。<hex:0248020103>"
3,86802,"<hex:0248020803><hex:0249020403>■戦果をあげてレジスタンスランクを上昇させよう！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>「南方ボズヤ戦線」では、コンテンツ内でのみ適用される「レジスタンスランク」が存在します。<hex:02100103>戦果は、”スカーミッシュ”や”クリティカルエンゲージメント”と呼ばれる、<hex:02100103>大規模な作戦行動に参加し、一定以上の評価を得ることで高まります。<hex:02100103><hex:02100103><hex:0248020F03>※戦果は、魔獣や帝国兵などを倒すだけでは得られません。<hex:02100103>作戦行動のクリア時に得られますので、ご注意ください！<hex:0248020103>"
4,86802,"ある程度の戦果を稼いだ場合には、拠点に駐在している、<hex:02100103>「レジスタンスの司令部付き将校（RANK UP）」に報告しましょう。<hex:02100103>一定数以上の戦果があれば、レジスタンスランクが上昇します。<hex:02100103><hex:02100103>レジスタンスランクが上昇することで、行動範囲が広がり、クエストが進行します。<hex:02100103>活動を有利にするためにも、積極的にレジスタンスランクを上昇させましょう。<hex:02100103><hex:02100103><hex:0248020F03>※レジスタンスランクを上昇させるには、必ず戦果報告が必要になります。<hex:02100103>戦果をある程度稼いだら、将校への報告を忘れないようにしましょう！<hex:0248020103>"
5,86802,"<hex:0248020803><hex:0249020403>■ジョブのレベリングにも活用しよう！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>大規模な作戦行動である“スカーミッシュ”や“クリティカルエンゲージメント”では、<hex:02100103>これらのクリア時にジョブレベルアップ用の経験値も得られます。<hex:02100103><hex:02100103>こちらは戦果と異なり、報告を行わなくても通常時と同じように、<hex:02100103>規定経験値に達すると、自動的にレベルアップします。<hex:02100103><hex:02100103>レベル80に達していないジョブがあるのなら、積極的にレベリングにも活用しましょう！"
