key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_SKYWATCHER_000_000","この「ディアデム諸島」では、その時々の天気に応じて、<hex:02100103>古代獣たちが活動範囲を変化させる……。<hex:02100103>だから、独学で天気を読む方法を編み出したのさ。"
1,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_SKYWATCHER_000_010","さて、今は「<hex:02280DFF08>Weather<hex:E8030203>」の空模様だが……<hex:02100103><hex:0208F2013EE4E803E804FF8D><hex:020889E4E804E805FF37>しばらくは、この状態が続くと思うぜ。<hex:FF4A>しばらく続いたあと「<hex:02280DFF08>Weather<hex:E8050203>」になると思うぜ。<hex:03><hex:FFAA><hex:0208A6E4E804E805FF47>この先、しばらく「<hex:02280DFF08>Weather<hex:E8040203>」が続くと思うぜ。<hex:FF57>この先、「<hex:02280DFF08>Weather<hex:E8040203>」から「<hex:02280DFF08>Weather<hex:E8050203>」に続くと思うぜ。<hex:03><hex:03>"
2,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_SKYWATCHER_000_020","<hex:0208F2020CE5E803E807FF7D>ただし、「漂流遺跡」の影響もあって、<hex:02100103>「雷波」の天候だけは読めないのが現状だ……。<hex:FFF20185>さて、今は「<hex:02280DFF08>Weather<hex:E8030203>」の空模様だが……<hex:02100103><hex:0208F2013EE4E803E804FF8D><hex:020889E4E804E805FF37>しばらくは、この状態が続くと思うぜ。<hex:FF4A>しばらく続いたあと「<hex:02280DFF08>Weather<hex:E8050203>」になると思うぜ。<hex:03><hex:FFAA><hex:0208A6E4E804E805FF47>この先、しばらく「<hex:02280DFF08>Weather<hex:E8040203>」が続くと思うぜ。<hex:FF57>この先、「<hex:02280DFF08>Weather<hex:E8040203>」から「<hex:02280DFF08>Weather<hex:E8050203>」に続くと思うぜ。<hex:03><hex:03><hex:03>"
3,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_EUWATCHER_000_030","「エウレカ」では特定の天候時のみ、<hex:02100103>活動が確認されている魔物もおります。<hex:02100103>冒険に出る際には、私の予報をご活用ください！"
4,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_EUWATCHER_100_030","なお、「乱霊流」と呼ばれる天候だけは、<hex:02100103>その発生を予測できませんので、ご注意ください。"
5,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_EUWATCHER_000_040","さて、今は「<hex:02280DFF08>Weather<hex:E8030203>」ですが……<hex:02100103><hex:0208F2013EE4E803E804FF8D><hex:020889E4E804E805FF37>しばらくは、この状態が続くでしょう。<hex:FF4A>しばらく続いたのち「<hex:02280DFF08>Weather<hex:E8050203>」になるでしょう。<hex:03><hex:FFAA><hex:0208A6E4E804E805FF47>この先、しばらく「<hex:02280DFF08>Weather<hex:E8040203>」が続くでしょう。<hex:FF57>この先、「<hex:02280DFF08>Weather<hex:E8040203>」から「<hex:02280DFF08>Weather<hex:E8050203>」に続くでしょう。<hex:03><hex:03>"
6,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_000_000","（★未使用／削除予定★）"
7,"TEXT_CMNDEFWEATHERFORECASTINTERRITORY_00310_000_010","（★未使用／削除予定★）"
