key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_JTANDHAA_000_001","おっ、アラミゴ解放軍に協力している冒険者だな？<hex:02100103>ここでは解放軍の兵站部門として、不要な装備の回収と、<hex:02100103>別の装備への交換なんかをやってるよ。"
1,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_SYSTEM_000_002","製作可能な特定の装備アイテムを、<hex:02100103>ジャ・タンダーに渡すことで、そのアイテムに応じた個数の、<hex:02100103>「手形」が入手できます。"
2,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_SYSTEM_000_003","また、一定数の「手形」と、<hex:02100103>特定のアイテムをジャ・タンダーに渡すことで、<hex:02100103>よりアイテムレベルの高い装備アイテムを入手できます。"
3,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_HINOSEN_000_100","ようこそ、<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>様。<hex:02100103>こちらのカウンターでは、不要な装備品の回収と、<hex:02100103>別の装備品への交換を承っております。"
4,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_SYSTEM_000_102","製作可能な特定の装備アイテムを<hex:02100103>ヒノセンに渡すことで、そのアイテムに応じた個数の、<hex:02100103>「手形」が入手できます。"
5,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_SYSTEM_000_103","また、一定数の「手形」と、<hex:02100103>特定のアイテムをヒノセンに渡すことで、<hex:02100103>よりアイテムレベルの高い装備アイテムを入手できます。"
6,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_RASHTI_000_200","いらっしゃいませ、お客さん！<hex:02100103>ウチの店では、不要な装備品の回収と、<hex:02100103>別の装備品への交換をやってるから、取引していってよ！"
7,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_SYSTEM_000_202","製作可能な特定の装備アイテムを<hex:02100103>ラッシュティに渡すことで、そのアイテムに応じた個数の、<hex:02100103>「手形」が入手できます。"
8,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_SYSTEM_000_203","また、一定数の「手形」と、<hex:02100103>特定のアイテムをラッシュティに渡すことで、<hex:02100103>よりアイテムレベルの高い装備アイテムを入手できます。"
9,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_EIRENE_000_300","ごめんねぇ、ウチはまだ開店準備中なのよ。<hex:02100103>近々取引を始めるから、そのときはぜひご贔屓に！"
10,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_EIRENE_000_301","お客様、いらっしゃいませぇ！<hex:02100103>不要な装備品の回収と別の装備品への交換をご希望なら、<hex:02100103>ぜひぜひ、ウチの店で取引していってねぇ～！"
11,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_SYSTEM_000_302","製作可能な特定の装備アイテムを、<hex:02100103>エイレーネーに渡すことで、そのアイテムに応じた個数の、<hex:02100103>「手形」が入手できます。"
12,"TEXT_REGGYR3RHALGRSREACHJTANDHAA_00509_SYSTEM_000_303","また、一定数の「手形」と、<hex:02100103>特定のアイテムをエイレーネーに渡すことで、<hex:02100103>よりアイテムレベルの高い装備アイテムを入手できます。"
