key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_AKTKCT303_04804_SEQ_00","<hex:024804F201F603><hex:024904F201F703>特殊ルール： ジョブ・クラス固定<hex:0249020103><hex:0248020103><hex:02100103>ミーン工芸館前のチョラ・ゾイは、「モーエンツール」の至高なる改良を始めたいようだ。"
1,"TEXT_AKTKCT303_04804_SEQ_01","※本クエストには「<hex:024804F201F603><hex:024904F201F703><hex:0249020103><hex:0248020103> ジョブ・クラス固定」が、<hex:02100103>　設定されています。<hex:02100103>　受注時と同じクラスでのみ進行できます。<hex:02100103><hex:02100103>「モーエンツール」の改良に必要な材料は、ミーン工芸館前の「キナーナ」に取引資本を渡すことで用意してもらえ、またギャザラーの場合は、取引資本を精選することでも得られるようだ。ミーン工芸館前の「チョラ・ゾイ」に、所持品またはアーマリーチェストに入れた「モーエンツール」と、材料を渡して、最終段階へ改良してもらおう。"
2,"TEXT_AKTKCT303_04804_SEQ_02","「モーエンツール」がついに完成した。モーエンツールを求めるすべての職人たちに行き渡るまで、グレノルトとチョラ・ゾイの「すたじお」は続くようだ。これからも、彼らとともに道具作りに励むのも良いだろう。"
3,"TEXT_AKTKCT303_04804_SEQ_03",""
4,"TEXT_AKTKCT303_04804_SEQ_04",""
5,"TEXT_AKTKCT303_04804_SEQ_05",""
6,"TEXT_AKTKCT303_04804_SEQ_06",""
7,"TEXT_AKTKCT303_04804_SEQ_07",""
8,"TEXT_AKTKCT303_04804_SEQ_08",""
9,"TEXT_AKTKCT303_04804_SEQ_09",""
10,"TEXT_AKTKCT303_04804_SEQ_10",""
11,"TEXT_AKTKCT303_04804_SEQ_11",""
12,"TEXT_AKTKCT303_04804_SEQ_12",""
13,"TEXT_AKTKCT303_04804_SEQ_13",""
14,"TEXT_AKTKCT303_04804_SEQ_14",""
15,"TEXT_AKTKCT303_04804_SEQ_15",""
16,"TEXT_AKTKCT303_04804_SEQ_16",""
17,"TEXT_AKTKCT303_04804_SEQ_17",""
18,"TEXT_AKTKCT303_04804_SEQ_18",""
19,"TEXT_AKTKCT303_04804_SEQ_19",""
20,"TEXT_AKTKCT303_04804_SEQ_20",""
21,"TEXT_AKTKCT303_04804_SEQ_21",""
22,"TEXT_AKTKCT303_04804_SEQ_22",""
23,"TEXT_AKTKCT303_04804_SEQ_23",""
24,"TEXT_AKTKCT303_04804_TODO_00","<hex:0208F20121E4E80509FF0F><hex:02280BFF05>Item<hex:F2A0DC0103><hex:FFF20109><hex:0208F20103E4E8050AFF0F><hex:02280BFF05>Item<hex:F2A0DD0103><hex:FFF0EC><hex:0208F0E7E4E8050BFF0F><hex:02280BFF05>Item<hex:F2A0DE0103><hex:FFF0D0><hex:0208CDE4E8050CFF0F><hex:02280BFF05>Item<hex:F2A0DF0103><hex:FFB7><hex:0208B3E4E8050DFF0F><hex:02280BFF05>Item<hex:F2A0E00103><hex:FF9D><hex:020899E4E8050EFF0F><hex:02280BFF05>Item<hex:F2A0E10103><hex:FF83><hex:02087FE4E8050FFF0F><hex:02280BFF05>Item<hex:F2A0E20103><hex:FF69><hex:020865E4E80510FF0F><hex:02280BFF05>Item<hex:F2A0E30103><hex:FF4F><hex:02084BE4E80511FF0F><hex:02280BFF05>Item<hex:F2A0E40103><hex:FF35><hex:020831E4E80512FF0F><hex:02280BFF05>Item<hex:F2A0E50103><hex:FF1B><hex:020817E4E80513FF0F><hex:02280BFF05>Item<hex:F2A0E60103><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03>を装備から外して<hex:02100103>所持し<hex:0208F202D3E4E80509FF35><hex:02280BFF05>Item<hex:F2A13E0103>を<hex:024804F2023B03><hex:024904F2023C03>60個<hex:0249020103><hex:0248020103>集め<hex:FFF20295><hex:0208F2028FE4E8050AFF35><hex:02280BFF05>Item<hex:F2A13F0103>を<hex:024804F2023B03><hex:024904F2023C03>60個<hex:0249020103><hex:0248020103>集め<hex:FFF20251><hex:0208F2024BE4E8050BFF35><hex:02280BFF05>Item<hex:F2A1400103>を<hex:024804F2023B03><hex:024904F2023C03>60個<hex:0249020103><hex:0248020103>集め<hex:FFF2020D><hex:0208F20207E4E8050CFF35><hex:02280BFF05>Item<hex:F2A1410103>を<hex:024804F2023B03><hex:024904F2023C03>60個<hex:0249020103><hex:0248020103>集め<hex:FFF201C9><hex:0208F201C3E4E8050DFF35><hex:02280BFF05>Item<hex:F2A1420103>を<hex:024804F2023B03><hex:024904F2023C03>60個<hex:0249020103><hex:0248020103>集め<hex:FFF20185><hex:0208F2017FE4E8050EFF35><hex:02280BFF05>Item<hex:F2A1430103>を<hex:024804F2023B03><hex:024904F2023C03>60個<hex:0249020103><hex:0248020103>集め<hex:FFF20141><hex:0208F2013BE4E8050FFF35><hex:02280BFF05>Item<hex:F2A1440103>を<hex:024804F2023B03><hex:024904F2023C03>60個<hex:0249020103><hex:0248020103>集め<hex:FFF0FE><hex:0208F0F9E4E80510FF35><hex:02280BFF05>Item<hex:F2A1450103>を<hex:024804F2023B03><hex:024904F2023C03>60個<hex:0249020103><hex:0248020103>集め<hex:FFBE><hex:0208BAE4E80511FF33><hex:02280BFF05>Item<hex:F2A1500103>を<hex:024804F2023B03><hex:024904F2023C03>220個<hex:0249020103><hex:0248020103>と<hex:FF80><hex:02087CE4E80512FF33><hex:02280BFF05>Item<hex:F2A1510103>を<hex:024804F2023B03><hex:024904F2023C03>220個<hex:0249020103><hex:0248020103>と<hex:FF42><hex:02083EE4E80513FF36><hex:02280BFF05>Item<hex:F2A1580103>を<hex:024804F2023B03><hex:024904F2023C03>170個<hex:0249020103><hex:0248020103>集め<hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:02100103><hex:020887E4E80511FF3A><hex:02280BFF05>Item<hex:F2A14B0103>を<hex:024804F2023B03><hex:024904F2023C03>220個<hex:0249020103><hex:0248020103>集め<hex:02100103><hex:FF46><hex:020842E4E80512FF3A><hex:02280BFF05>Item<hex:F2A14D0103>を<hex:024804F2023B03><hex:024904F2023C03>220個<hex:0249020103><hex:0248020103>集め<hex:02100103><hex:FF01><hex:03><hex:03>ミーン工芸館前のチョラ・ゾイに渡す"
25,"TEXT_AKTKCT303_04804_TODO_01",""
26,"TEXT_AKTKCT303_04804_TODO_02",""
27,"TEXT_AKTKCT303_04804_TODO_03",""
28,"TEXT_AKTKCT303_04804_TODO_04",""
29,"TEXT_AKTKCT303_04804_TODO_05",""
30,"TEXT_AKTKCT303_04804_TODO_06",""
31,"TEXT_AKTKCT303_04804_TODO_07",""
32,"TEXT_AKTKCT303_04804_TODO_08",""
33,"TEXT_AKTKCT303_04804_TODO_09",""
34,"TEXT_AKTKCT303_04804_TODO_10",""
35,"TEXT_AKTKCT303_04804_TODO_11",""
36,"TEXT_AKTKCT303_04804_TODO_12",""
