key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANYOK117_05352_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<hex:0249020103><hex:0248020103><hex:02100103>※本クエストは受注時のクラスでのみ進行します。<hex:02100103><hex:02100103>雪守の塚屋のヴヤーグーは、食料貯蔵庫の環境維持について考えているようだ。"
1,"TEXT_BANYOK117_05352_SEQ_01","ジィゴーテー拝壇のサーホークーと話す"
2,"TEXT_BANYOK117_05352_SEQ_02","貯蔵庫管理のヨカフイ族に依頼された品を納品"
3,"TEXT_BANYOK117_05352_SEQ_03","ヴヤーグーと話す"
4,"TEXT_BANYOK117_05352_SEQ_04",""
5,"TEXT_BANYOK117_05352_SEQ_05",""
6,"TEXT_BANYOK117_05352_SEQ_06",""
7,"TEXT_BANYOK117_05352_SEQ_07",""
8,"TEXT_BANYOK117_05352_SEQ_08",""
9,"TEXT_BANYOK117_05352_SEQ_09",""
10,"TEXT_BANYOK117_05352_SEQ_10",""
11,"TEXT_BANYOK117_05352_SEQ_11",""
12,"TEXT_BANYOK117_05352_SEQ_12",""
13,"TEXT_BANYOK117_05352_SEQ_13",""
14,"TEXT_BANYOK117_05352_SEQ_14",""
15,"TEXT_BANYOK117_05352_SEQ_15",""
16,"TEXT_BANYOK117_05352_SEQ_16",""
17,"TEXT_BANYOK117_05352_SEQ_17",""
18,"TEXT_BANYOK117_05352_SEQ_18",""
19,"TEXT_BANYOK117_05352_SEQ_19",""
20,"TEXT_BANYOK117_05352_SEQ_20",""
21,"TEXT_BANYOK117_05352_SEQ_21",""
22,"TEXT_BANYOK117_05352_SEQ_22",""
23,"TEXT_BANYOK117_05352_SEQ_23",""
24,"TEXT_BANYOK117_05352_TODO_00","ジィゴーテー拝壇のサーホークーと話す"
25,"TEXT_BANYOK117_05352_TODO_01","<hex:0208F2049CE4E8050AFF86><hex:020882E3E802E803FF3F>製作手帳 友好部族クエスト：<hex:02280AFF05>Item<hex:E8060103>を製作<hex:FF3B>貯蔵庫管理のヨカフイ族に<hex:02280AFF05>Item<hex:E8060103>を納品<hex:03><hex:FFF2040D><hex:0208F20407E4E8050BFF86><hex:020882E3E802E803FF3F>製作手帳 友好部族クエスト：<hex:02280AFF05>Item<hex:E8060103>を製作<hex:FF3B>貯蔵庫管理のヨカフイ族に<hex:02280AFF05>Item<hex:E8060103>を納品<hex:03><hex:FFF20378><hex:0208F20372E4E8050CFF86><hex:020882E3E802E803FF3F>製作手帳 友好部族クエスト：<hex:02280AFF05>Item<hex:E8060103>を製作<hex:FF3B>貯蔵庫管理のヨカフイ族に<hex:02280AFF05>Item<hex:E8060103>を納品<hex:03><hex:FFF202E3><hex:0208F202DDE4E80509FF86><hex:020882E3E802E803FF3F>製作手帳 友好部族クエスト：<hex:02280AFF05>Item<hex:E8060103>を製作<hex:FF3B>貯蔵庫管理のヨカフイ族に<hex:02280AFF05>Item<hex:E8060103>を納品<hex:03><hex:FFF2024E><hex:0208F20248E4E8050DFF86><hex:020882E3E802E803FF3F>製作手帳 友好部族クエスト：<hex:02280AFF05>Item<hex:E8060103>を製作<hex:FF3B>貯蔵庫管理のヨカフイ族に<hex:02280AFF05>Item<hex:E8060103>を納品<hex:03><hex:FFF201B9><hex:0208F201B3E4E8050EFF86><hex:020882E3E802E803FF3F>製作手帳 友好部族クエスト：<hex:02280AFF05>Item<hex:E8060103>を製作<hex:FF3B>貯蔵庫管理のヨカフイ族に<hex:02280AFF05>Item<hex:E8060103>を納品<hex:03><hex:FFF20124><hex:0208F2011EE4E8050FFF86><hex:020882E3E802E803FF3F>製作手帳 友好部族クエスト：<hex:02280AFF05>Item<hex:E8060103>を製作<hex:FF3B>貯蔵庫管理のヨカフイ族に<hex:02280AFF05>Item<hex:E8060103>を納品<hex:03><hex:FF92><hex:02088EE4E80510FF86><hex:020882E3E802E803FF3F>製作手帳 友好部族クエスト：<hex:02280AFF05>Item<hex:E8060103>を製作<hex:FF3B>貯蔵庫管理のヨカフイ族に<hex:02280AFF05>Item<hex:E8060103>を納品<hex:03><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03>"
26,"TEXT_BANYOK117_05352_TODO_02","ヴヤーグーと話す"
27,"TEXT_BANYOK117_05352_TODO_03",""
28,"TEXT_BANYOK117_05352_TODO_04",""
29,"TEXT_BANYOK117_05352_TODO_05",""
30,"TEXT_BANYOK117_05352_TODO_06",""
31,"TEXT_BANYOK117_05352_TODO_07",""
32,"TEXT_BANYOK117_05352_TODO_08",""
33,"TEXT_BANYOK117_05352_TODO_09",""
34,"TEXT_BANYOK117_05352_TODO_10",""
35,"TEXT_BANYOK117_05352_TODO_11",""
36,"TEXT_BANYOK117_05352_TODO_12",""
37,"TEXT_BANYOK117_05352_TODO_13",""
38,"TEXT_BANYOK117_05352_TODO_14",""
39,"TEXT_BANYOK117_05352_TODO_15",""
40,"TEXT_BANYOK117_05352_TODO_16",""
41,"TEXT_BANYOK117_05352_TODO_17",""
42,"TEXT_BANYOK117_05352_TODO_18",""
43,"TEXT_BANYOK117_05352_TODO_19",""
44,"TEXT_BANYOK117_05352_TODO_20",""
45,"TEXT_BANYOK117_05352_TODO_21",""
46,"TEXT_BANYOK117_05352_TODO_22",""
47,"TEXT_BANYOK117_05352_TODO_23",""
48,"TEXT_BANYOK117_05352_VUYARGUR_000_000","低温の雪山では、食料が腐る心配は少ないのですが……<hex:02100103>長持ちさせるには、もう一段、低い温度が望ましいのです。<hex:02100103>そのため、貯蔵庫で保管しています。"
49,"TEXT_BANYOK117_05352_VUYARGUR_000_001","さらに、食料によってそれぞれ適した保管方法があって、<hex:02100103>箱や袋に入れたり、乾燥剤を使ったりしています。"
50,"TEXT_BANYOK117_05352_VUYARGUR_000_002","食料が多くなってきて、それらが品薄になったので、<hex:02100103>どうか手を貸してくださいませんか？<hex:02100103>ジィゴーテー拝壇の「サーホークー」に詳細をお聞きください。"
51,"TEXT_BANYOK117_05352_XARHORKUR_000_010","ご協力ありがとうございます、食料貯蔵庫の件ですね！<hex:02100103>製作に必要な材料の準備はできていますよ。"
52,"TEXT_BANYOK117_05352_XARHORKUR_000_011","「<hex:02280BFF05>Item<hex:F2B4960103>」として、<hex:02100103>金属製の保管箱の製作をお願いします！<hex:02100103>材料が足りなければ、いつでもお声がけくださいね。"
53,"TEXT_BANYOK117_05352_XARHORKUR_000_012","「<hex:02280BFF05>Item<hex:F2B4960103>」として、<hex:02100103>革製の袋の製作をお願いします！<hex:02100103>材料が足りなければ、いつでもお声がけくださいね。"
54,"TEXT_BANYOK117_05352_XARHORKUR_000_013","「<hex:02280BFF05>Item<hex:F2B4960103>」として、<hex:02100103>乾燥剤の製作をお願いします！<hex:02100103>材料が足りなければ、いつでもお声がけくださいね。"
