key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_KINGEA203_05328_SEQ_00","ルワテニヤーサ南のプリッシュは捜索を続けたいようだ。"
1,"TEXT_KINGEA203_05328_SEQ_01","スコリアを無事に見つけ、彼女の歌声を聞いた。シェシェネ青燐泉で「ジャスパー」と話そう。"
2,"TEXT_KINGEA203_05328_SEQ_02","ジャスパーと話し、トライヨラへ出立するのを見送った。スコリアはプリッシュの励ましを聞いて、歌い続けると気持ちを新たにしたようだ。一方で、プリッシュは浮かない表情だった。"
3,"TEXT_KINGEA203_05328_SEQ_03",""
4,"TEXT_KINGEA203_05328_SEQ_04",""
5,"TEXT_KINGEA203_05328_SEQ_05",""
6,"TEXT_KINGEA203_05328_SEQ_06",""
7,"TEXT_KINGEA203_05328_SEQ_07",""
8,"TEXT_KINGEA203_05328_SEQ_08",""
9,"TEXT_KINGEA203_05328_SEQ_09",""
10,"TEXT_KINGEA203_05328_SEQ_10",""
11,"TEXT_KINGEA203_05328_SEQ_11",""
12,"TEXT_KINGEA203_05328_SEQ_12",""
13,"TEXT_KINGEA203_05328_SEQ_13",""
14,"TEXT_KINGEA203_05328_SEQ_14",""
15,"TEXT_KINGEA203_05328_SEQ_15",""
16,"TEXT_KINGEA203_05328_SEQ_16",""
17,"TEXT_KINGEA203_05328_SEQ_17",""
18,"TEXT_KINGEA203_05328_SEQ_18",""
19,"TEXT_KINGEA203_05328_SEQ_19",""
20,"TEXT_KINGEA203_05328_SEQ_20",""
21,"TEXT_KINGEA203_05328_SEQ_21",""
22,"TEXT_KINGEA203_05328_SEQ_22",""
23,"TEXT_KINGEA203_05328_SEQ_23",""
24,"TEXT_KINGEA203_05328_TODO_00","ジャスパーと話す"
25,"TEXT_KINGEA203_05328_TODO_01",""
26,"TEXT_KINGEA203_05328_TODO_02",""
27,"TEXT_KINGEA203_05328_TODO_03",""
28,"TEXT_KINGEA203_05328_TODO_04",""
29,"TEXT_KINGEA203_05328_TODO_05",""
30,"TEXT_KINGEA203_05328_TODO_06",""
31,"TEXT_KINGEA203_05328_TODO_07",""
32,"TEXT_KINGEA203_05328_TODO_08",""
33,"TEXT_KINGEA203_05328_TODO_09",""
34,"TEXT_KINGEA203_05328_TODO_10",""
35,"TEXT_KINGEA203_05328_TODO_11",""
36,"TEXT_KINGEA203_05328_TODO_12",""
37,"TEXT_KINGEA203_05328_TODO_13",""
38,"TEXT_KINGEA203_05328_TODO_14",""
39,"TEXT_KINGEA203_05328_TODO_15",""
40,"TEXT_KINGEA203_05328_TODO_16",""
41,"TEXT_KINGEA203_05328_TODO_17",""
42,"TEXT_KINGEA203_05328_TODO_18",""
43,"TEXT_KINGEA203_05328_TODO_19",""
44,"TEXT_KINGEA203_05328_TODO_20",""
45,"TEXT_KINGEA203_05328_TODO_21",""
46,"TEXT_KINGEA203_05328_TODO_22",""
47,"TEXT_KINGEA203_05328_TODO_23",""
48,"TEXT_KINGEA203_05328_JASPER_000_001","お嬢さんの話によれば、<hex:02100103>娘が南の方へ向かう姿を目撃したとか……。<hex:02100103>ご迷惑をおかけしますが、よろしくお願いします。"
49,"TEXT_KINGEA203_05328_BAKOOLJAJA_000_005","(-魔のバクージャジャ-)オブリビオンとの約束まで、まだ時間はある。<hex:02100103>ちゃちゃっと解決しちゃおうよ。"
50,"TEXT_KINGEA203_05328_PRISHE_000_010","小さな影が走っていった方角は……南のほうだ。<hex:02100103>魔物に襲われる前に、急ごうぜ！"
51,"TEXT_KINGEA203_05328_ALXAAL_000_100","見つかったようだな！"
52,"TEXT_KINGEA203_05328_SCORIA_000_101","<hex:02081FE905FF0D>お姉さん<hex:FF0D>お兄さん<hex:03>たちは……？"
53,"TEXT_KINGEA203_05328_PRISHE_000_102","俺はプリッシュ、<hex:02100103>おまえの父ちゃんに頼まれて、捜しに来たんだよ。<hex:02100103>こんなところで何してたんだ？"
54,"TEXT_KINGEA203_05328_SCORIA_000_103","私、移住なんてしたくない。<hex:02100103>だって、歌手になるっていう夢があるんだもん。"
55,"TEXT_KINGEA203_05328_SCORIA_000_104","でも、これから行くトライヨラは、<hex:02100103>アレクサンドリアとは違う国だから……。<hex:02100103>きっと誰も私の歌なんか聴いてくれないよ。"
56,"TEXT_KINGEA203_05328_SCORIA_000_105","そう思ったら、ぜんぶ嫌になっちゃって……<hex:02100103>気づいたら、こんなところまで走ってきちゃった。"
57,"TEXT_KINGEA203_05328_SCORIA_000_106","プリッシュちゃん……で、いいかな？<hex:02100103>それと、<hex:02081FE905FF0D>お姉さん<hex:FF0D>お兄さん<hex:03>たち、迷惑をかけてごめんなさい……。"
58,"TEXT_KINGEA203_05328_PRISHE_000_107","無事だったんだし、いいってことよ！"
59,"TEXT_KINGEA203_05328_PRISHE_000_108","にしても、おまえを見てると友だちのことを思い出すよ。"
60,"TEXT_KINGEA203_05328_PRISHE_000_109","ウルミアって言うんだけどな。<hex:02100103>あるとき、こんなでっけえ夕日を前にして、<hex:02100103>まるで世界が終わるかのように、ひとり泣いてたんだよ。"
61,"TEXT_KINGEA203_05328_PRISHE_000_110","緊張して、上手く歌えなくて、<hex:02100103>大聖堂の聖歌隊ってのに入り損ねたんだってさ。"
62,"TEXT_KINGEA203_05328_PRISHE_100_110","（★未使用／削除予定★）"
63,"TEXT_KINGEA203_05328_PRISHE_000_111","……なぁ、世界ってのは、この夕日よりもっとでっけぇんだよ。<hex:02100103>それこそどんな失敗もちっぽけに感じちまうくらいにな。"
64,"TEXT_KINGEA203_05328_PRISHE_000_112","おまえの事情をすべてわかってるわけじゃねぇけどよ、<hex:02100103>歌うのをやめたら、おまえが目指す世界は終わっちまうんだぜ。"
65,"TEXT_KINGEA203_05328_PRISHE_100_112","ウルミアにも、同じようなことを言ったんだ。<hex:02100103>あいつは、その後も諦めずに歌い続けることを選んで、<hex:02100103>念願の聖歌隊に入ったぞ。"
66,"TEXT_KINGEA203_05328_SCORIA_000_113","だけど……知らない国で歌うのは怖いよ。<hex:02100103>誰かに笑われたりするかもしれないし……。"
67,"TEXT_KINGEA203_05328_PRISHE_000_114","このトラルって大陸はさ、元々たくさんの部族が暮らしてるのに、<hex:02100103>最近になってほかの世界とも混ざっちまったんだってな。<hex:02100103>つまり、いろんなやつがいるってことだ。"
68,"TEXT_KINGEA203_05328_PRISHE_000_115","だから、文化や部族が違ったって、<hex:02100103>受け入れてくれるやつは必ずいる。<hex:02100103>この広い世界で、おまえの歌を歌い続けりゃいい！"
69,"TEXT_KINGEA203_05328_SCORIA_000_116","じゃあ、まずはプリッシュちゃんに聴いてほしい。<hex:02100103>いいかな……？"
70,"TEXT_KINGEA203_05328_SCORIA_000_130","（★未使用／削除予定★）"
71,"TEXT_KINGEA203_05328_ALXAAL_000_135","（★未使用／削除予定★）"
72,"TEXT_KINGEA203_05328_PRISHE_000_150","（★未使用／削除予定★）"
