key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CLSCUL201_00259_SEQ_00","요리사 길드마스터 링자트는 요즘 길드원들이 피곤해하는 게 마음에 걸리는 모양이다."
1,"TEXT_CLSCUL201_00259_SEQ_01","링자트가 피로회복에 좋은 요리를 한번 만들어보라고 했다. <hex:02280BFF05>Item<hex:F2127A0103><hex:020D1BFF0F02280BFF054974656DF2127A0103FF04EBA5BCFF04EC9D8403> 하나 만들어서 요리사 길드에 있는 '급강하하는 비둘기'에게 가지고 가자. <hex:02280BFF05>Item<hex:F2127A0103><hex:020D1BFF0F02280BFF054974656DF2127A0103FF04EBA5BCFF04EC9D8403> 만드는 재료인 <hex:022811FF05>Item<hex:FF08>　4812<hex:0103><hex:020D21FF15022811FF054974656DFF08E38080343831320103FF04EB8A94FF04EC9D8003> 길드 상인 조시가 팔지 않는다고 한다. 직접 채집하거나 '국제거리 서쪽 상점가'에 있는 '장터 게시판'에서 찾아보자."
2,"TEXT_CLSCUL201_00259_SEQ_02","약 대신 매일 요정자두를 먹고 있다는 급강하하는 비둘기는 모험가가 만들어준 <hex:02280BFF05>Item<hex:F2127A0103><hex:020D1BFF0F02280BFF054974656DF2127A0103FF04EBA5BCFF04EC9D8403> 먹고 칭찬을 아끼지 않았다. 그녀는 ""목숨 걸고 건강을 지킨다""고 한다. 그녀처럼 건강을 잘 지키면서 요리 수행에 힘을 쏟자.<hex:02100103><hex:02100103>※ 요리사 레벨이 25 이상 되면 링자트에게 다음 요리사 퀘스트를 받을 수 있습니다."
3,"TEXT_CLSCUL201_00259_SEQ_03",""
4,"TEXT_CLSCUL201_00259_SEQ_04",""
5,"TEXT_CLSCUL201_00259_SEQ_05",""
6,"TEXT_CLSCUL201_00259_SEQ_06",""
7,"TEXT_CLSCUL201_00259_SEQ_07",""
8,"TEXT_CLSCUL201_00259_SEQ_08",""
9,"TEXT_CLSCUL201_00259_SEQ_09",""
10,"TEXT_CLSCUL201_00259_SEQ_10",""
11,"TEXT_CLSCUL201_00259_SEQ_11",""
12,"TEXT_CLSCUL201_00259_SEQ_12",""
13,"TEXT_CLSCUL201_00259_SEQ_13",""
14,"TEXT_CLSCUL201_00259_SEQ_14",""
15,"TEXT_CLSCUL201_00259_SEQ_15",""
16,"TEXT_CLSCUL201_00259_SEQ_16",""
17,"TEXT_CLSCUL201_00259_SEQ_17",""
18,"TEXT_CLSCUL201_00259_SEQ_18",""
19,"TEXT_CLSCUL201_00259_SEQ_19",""
20,"TEXT_CLSCUL201_00259_SEQ_20",""
21,"TEXT_CLSCUL201_00259_SEQ_21",""
22,"TEXT_CLSCUL201_00259_SEQ_22",""
23,"TEXT_CLSCUL201_00259_SEQ_23",""
24,"TEXT_CLSCUL201_00259_TODO_00","급강하하는 비둘기에게 <hex:02280BFF05>Item<hex:F2127A0103> 납품"
25,"TEXT_CLSCUL201_00259_TODO_01",""
26,"TEXT_CLSCUL201_00259_TODO_02",""
27,"TEXT_CLSCUL201_00259_TODO_03",""
28,"TEXT_CLSCUL201_00259_TODO_04",""
29,"TEXT_CLSCUL201_00259_TODO_05",""
30,"TEXT_CLSCUL201_00259_TODO_06",""
31,"TEXT_CLSCUL201_00259_TODO_07",""
32,"TEXT_CLSCUL201_00259_TODO_08",""
33,"TEXT_CLSCUL201_00259_TODO_09",""
34,"TEXT_CLSCUL201_00259_TODO_10",""
35,"TEXT_CLSCUL201_00259_TODO_11",""
36,"TEXT_CLSCUL201_00259_TODO_12",""
37,"TEXT_CLSCUL201_00259_TODO_13",""
38,"TEXT_CLSCUL201_00259_TODO_14",""
39,"TEXT_CLSCUL201_00259_TODO_15",""
40,"TEXT_CLSCUL201_00259_TODO_16",""
41,"TEXT_CLSCUL201_00259_TODO_17",""
42,"TEXT_CLSCUL201_00259_TODO_18",""
43,"TEXT_CLSCUL201_00259_TODO_19",""
44,"TEXT_CLSCUL201_00259_TODO_20",""
45,"TEXT_CLSCUL201_00259_TODO_21",""
46,"TEXT_CLSCUL201_00259_TODO_22",""
47,"TEXT_CLSCUL201_00259_TODO_23",""
48,"TEXT_CLSCUL201_00259_LYNGSATH_000_1","어, 그래. 오늘도 열심히 음식을 만들고 있나?<hex:02100103>요리사에게 피곤은 금물이야.<hex:02100103>만드는 사람이 지치면 요리에 다 드러나거든."
49,"TEXT_CLSCUL201_00259_LYNGSATH_000_2","하지만 아무리 체력을 길러도<hex:02100103>온종일 서서 요리를 하다 보면 피곤이 쌓일 수밖에 없지."
50,"TEXT_CLSCUL201_00259_LYNGSATH_000_3","그래서 말이야,<hex:02100103>이번엔 피곤이 싹 날아가는 요리를 한번 만들어보지 않겠나?<hex:02100103>예를 들면…… <hex:02280BFF05>Item<hex:F2127A0103> 같은 거 말이지!"
51,"TEXT_CLSCUL201_00259_LYNGSATH_000_4","<hex:02280BFF05>Item<hex:F2127A0103><hex:020D1BFF0F02280BFF054974656DF2127A0103FF04EB8A94FF04EC9D8003> <hex:022811FF05>Item<hex:FF08>　4812<hex:0103><hex:020D24FF15022811FF054974656DFF08E38080343831320103FF04EB9DBCFF07EC9DB4EB9DBC03>고 하는<hex:02100103>커르다스에서 나는 과일을 말려서 만든 거야."
52,"TEXT_CLSCUL201_00259_LYNGSATH_000_5","<hex:022811FF05>Item<hex:FF08>　4812<hex:0103><hex:020D21FF15022811FF054974656DFF08E38080343831320103FF04EB8A94FF04EC9D8003> 날로 먹으면 쓴맛이 나지만<hex:02100103>잘 말리면 달달~한 게 피곤할 때 딱이지.<hex:02100103>오래 두고 먹기 좋아서 뱃사람들한테도 인기야."
53,"TEXT_CLSCUL201_00259_LYNGSATH_000_6","하지만 길드 상인 조시는 <hex:022811FF05>Item<hex:FF08>　4812<hex:0103><hex:020D21FF15022811FF054974656DFF08E38080343831320103FF04EBA5BCFF04EC9D8403> 취급하고 있지 않아.<hex:02100103>그러니 직접 채집하든가, '국제거리 서쪽 상점가'에 있는<hex:02100103>장터 게시판에 매물이 나와 있진 않은지 찾아봐야 할 거야."
54,"TEXT_CLSCUL201_00259_LYNGSATH_000_7","다 만들면 주방 가마 쪽에서 일하는<hex:02100103>요리사 '급강하하는 비둘기'에게 하나 가져다줘.<hex:02100103>그 녀석이 요즘 특히 피곤해하는 것 같아서 말이야……."
55,"TEXT_CLSCUL201_00259_DIVINGDOVE_000_10","오, 나한테 <hex:02280BFF05>Item<hex:F2127A0103><hex:020D1BFF0F02280BFF054974656DF2127A0103FF04EBA5BCFF04EC9D8403>?<hex:02100103>링자트 마스터님이 보내서 온 거라고?"
56,"TEXT_CLSCUL201_00259_DIVINGDOVE_001_10","나한테 먹어보라는 거지?<hex:02100103>잘됐다. 마침 쉬는 시간이거든.<hex:02100103>올라가서 한번 먹어볼게."
