key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_HEAVNZ007_01732_SEQ_00","매의 보금자리에 있는 누아르테렐은 물자가 부족해 곤경에 처한 듯하다."
1,"TEXT_HEAVNZ007_01732_SEQ_01","누아르테렐은 식량이 필요한 모양이다. 커르다스 서부고지 '맞가람 골짜기'에 있는 <hex:02280FFF09>BNpcName<hex:F20D8E0103><hex:020D1FFF1302280FFF09424E70634E616D65F20D8E0103FF04EBA5BCFF04EC9D8403> 잡아 <hex:022811FF0A>EventItem<hex:F61E8ABA0103><hex:020D21FF15022811FF0A4576656E744974656DF61E8ABA0103FF04EBA5BCFF04EC9D8403> 3개 손에 넣자."
2,"TEXT_HEAVNZ007_01732_SEQ_02","<hex:022811FF0A>EventItem<hex:F61E8ABA0103><hex:020D21FF15022811FF0A4576656E744974656DF61E8ABA0103FF04EBA5BCFF04EC9D8403> 손에 넣었다. 매의 보금자리에 있는 '누아르테렐'에게 <hex:022811FF0A>EventItem<hex:F61E8ABA0103><hex:020D21FF15022811FF0A4576656E744974656DF61E8ABA0103FF04EBA5BCFF04EC9D8403> 건네자."
3,"TEXT_HEAVNZ007_01732_SEQ_03","누아르테렐에게 <hex:022811FF0A>EventItem<hex:F61E8ABA0103><hex:020D21FF15022811FF0A4576656E744974656DF61E8ABA0103FF04EBA5BCFF04EC9D8403> 건넸다. 그는 유사시에 대비해 이것을 얼려 보존식으로 만들겠다고 한다."
4,"TEXT_HEAVNZ007_01732_SEQ_04",""
5,"TEXT_HEAVNZ007_01732_SEQ_05",""
6,"TEXT_HEAVNZ007_01732_SEQ_06",""
7,"TEXT_HEAVNZ007_01732_SEQ_07",""
8,"TEXT_HEAVNZ007_01732_SEQ_08",""
9,"TEXT_HEAVNZ007_01732_SEQ_09",""
10,"TEXT_HEAVNZ007_01732_SEQ_10",""
11,"TEXT_HEAVNZ007_01732_SEQ_11",""
12,"TEXT_HEAVNZ007_01732_SEQ_12",""
13,"TEXT_HEAVNZ007_01732_SEQ_13",""
14,"TEXT_HEAVNZ007_01732_SEQ_14",""
15,"TEXT_HEAVNZ007_01732_SEQ_15",""
16,"TEXT_HEAVNZ007_01732_SEQ_16",""
17,"TEXT_HEAVNZ007_01732_SEQ_17",""
18,"TEXT_HEAVNZ007_01732_SEQ_18",""
19,"TEXT_HEAVNZ007_01732_SEQ_19",""
20,"TEXT_HEAVNZ007_01732_SEQ_20",""
21,"TEXT_HEAVNZ007_01732_SEQ_21",""
22,"TEXT_HEAVNZ007_01732_SEQ_22",""
23,"TEXT_HEAVNZ007_01732_SEQ_23",""
24,"TEXT_HEAVNZ007_01732_TODO_00","<hex:02280FFF09>BNpcName<hex:F20D8E0103><hex:020E22FF1302280FFF09424E70634E616D65F20D8E0103FF04EBA19CFF07EC9CBCEBA19C03>부터 <hex:022811FF0A>EventItem<hex:F61E8ABA0103> 입수"
25,"TEXT_HEAVNZ007_01732_TODO_01","누아르테렐에게 <hex:022811FF0A>EventItem<hex:F61E8ABA0103> 전달"
26,"TEXT_HEAVNZ007_01732_TODO_02",""
27,"TEXT_HEAVNZ007_01732_TODO_03",""
28,"TEXT_HEAVNZ007_01732_TODO_04",""
29,"TEXT_HEAVNZ007_01732_TODO_05",""
30,"TEXT_HEAVNZ007_01732_TODO_06",""
31,"TEXT_HEAVNZ007_01732_TODO_07",""
32,"TEXT_HEAVNZ007_01732_TODO_08",""
33,"TEXT_HEAVNZ007_01732_TODO_09",""
34,"TEXT_HEAVNZ007_01732_TODO_10",""
35,"TEXT_HEAVNZ007_01732_TODO_11",""
36,"TEXT_HEAVNZ007_01732_TODO_12",""
37,"TEXT_HEAVNZ007_01732_TODO_13",""
38,"TEXT_HEAVNZ007_01732_TODO_14",""
39,"TEXT_HEAVNZ007_01732_TODO_15",""
40,"TEXT_HEAVNZ007_01732_TODO_16",""
41,"TEXT_HEAVNZ007_01732_TODO_17",""
42,"TEXT_HEAVNZ007_01732_TODO_18",""
43,"TEXT_HEAVNZ007_01732_TODO_19",""
44,"TEXT_HEAVNZ007_01732_TODO_20",""
45,"TEXT_HEAVNZ007_01732_TODO_21",""
46,"TEXT_HEAVNZ007_01732_TODO_22",""
47,"TEXT_HEAVNZ007_01732_TODO_23",""
48,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_000","네? 도와드릴 일이 있느냐고요?<hex:02100103>글쎄요, 외부에서 오신 분한테 딱히 부탁드릴 일은……<hex:02100103>……아, 모험가님께는 그걸 부탁드리면 되겠군요."
49,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_001","이 부근에 서식하는 <hex:02280FFF09>BNpcName<hex:F20D8E0103><hex:020D1FFF1302280FFF09424E70634E616D65F20D8E0103FF04EBA5BCFF04EC9D8403> 잡아서<hex:02100103><hex:022811FF0A>EventItem<hex:F61E8ABA0103><hex:020D21FF15022811FF0A4576656E744974656DF61E8ABA0103FF04EBA5BCFF04EC9D8403> 얻어다 주시겠습니까?<hex:02100103>3마리 정도면 될 것 같습니다."
50,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_002","그 녀석들 고기는 딱딱하고 맛없지만<hex:02100103>물자가 부족한 여기서는 그것마저 귀중한 식량이거든요."
51,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_010","이 부근에 서식하는 <hex:02280FFF09>BNpcName<hex:F20D8E0103><hex:020D1FFF1302280FFF09424E70634E616D65F20D8E0103FF04EBA5BCFF04EC9D8403> 잡아서<hex:02100103><hex:022811FF0A>EventItem<hex:F61E8ABA0103><hex:020D21FF15022811FF0A4576656E744974656DF61E8ABA0103FF04EBA5BCFF04EC9D8403> 얻어다 주시겠습니까?<hex:02100103>3마리 정도면 될 것 같습니다."
52,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_030","이 부근에 서식하는 <hex:02280FFF09>BNpcName<hex:F20D8E0103><hex:020D1FFF1302280FFF09424E70634E616D65F20D8E0103FF04EBA5BCFF04EC9D8403> 잡아서<hex:02100103><hex:022811FF0A>EventItem<hex:F61E8ABA0103><hex:020D21FF15022811FF0A4576656E744974656DF61E8ABA0103FF04EBA5BCFF04EC9D8403> 얻어다 주시겠습니까?<hex:02100103>3마리 정도면 될 것 같습니다."
53,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_031","벌써 다 모아오셨나요?<hex:02100103>……이 맛없는 고기를 어떻게 요리하냐고요?<hex:02100103>하하하, 이건 이대로 밖에서 얼릴 겁니다."
54,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_032","매의 보금자리는 성도 이슈가르드를 지키는 중요한 거점인지라<hex:02100103>농성을 해서라도 드래곤족의 공격을 버텨야만 하는 곳이지요.<hex:02100103>그런 상황을 대비해서 보존식으로 만들어두는 겁니다."
55,"TEXT_HEAVNZ007_01732_NOIRTEREL_000_033","이만큼 있으면 유사시에도 걱정 없겠군요.<hex:02100103>감사합니다, 덕분에 큰 도움이 됐어요!"
