key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANNAM404_03112_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>특수 규칙:  레벨 보정(직업 변경 제한)<hex:0249020103><hex:0248020103><hex:02100103>※ 이 퀘스트는 퀘스트 수락 시점의 클래스로만 진행할 수 있습니다.<hex:02100103><hex:02100103>도로 일로에 있는 광풍원 세이게츠는 고민거리가 있는 듯하다."
1,"TEXT_BANNAM404_03112_SEQ_01","여명의 옥좌에 있는 긴털들소를 기르는 유목민과 대화하자."
2,"TEXT_BANNAM404_03112_SEQ_02","여명의 옥좌에 있는 긴털들소를 기르는 유목민에게 의뢰받은 물품을 납품하자."
3,"TEXT_BANNAM404_03112_SEQ_03","광풍원 세이게츠에게 <hex:022811FF0A>EventItem<hex:F61E8E2C0103><hex:020D21FF15022811FF0A4576656E744974656DF61E8E2C0103FF04EBA5BCFF04EC9D8403> 전달하자."
4,"TEXT_BANNAM404_03112_SEQ_04",""
5,"TEXT_BANNAM404_03112_SEQ_05",""
6,"TEXT_BANNAM404_03112_SEQ_06",""
7,"TEXT_BANNAM404_03112_SEQ_07",""
8,"TEXT_BANNAM404_03112_SEQ_08",""
9,"TEXT_BANNAM404_03112_SEQ_09",""
10,"TEXT_BANNAM404_03112_SEQ_10",""
11,"TEXT_BANNAM404_03112_SEQ_11",""
12,"TEXT_BANNAM404_03112_SEQ_12",""
13,"TEXT_BANNAM404_03112_SEQ_13",""
14,"TEXT_BANNAM404_03112_SEQ_14",""
15,"TEXT_BANNAM404_03112_SEQ_15",""
16,"TEXT_BANNAM404_03112_SEQ_16",""
17,"TEXT_BANNAM404_03112_SEQ_17",""
18,"TEXT_BANNAM404_03112_SEQ_18",""
19,"TEXT_BANNAM404_03112_SEQ_19",""
20,"TEXT_BANNAM404_03112_SEQ_20",""
21,"TEXT_BANNAM404_03112_SEQ_21",""
22,"TEXT_BANNAM404_03112_SEQ_22",""
23,"TEXT_BANNAM404_03112_SEQ_23",""
24,"TEXT_BANNAM404_03112_TODO_00","여명의 옥좌에 있는 긴털들소를 기르는 유목민과 대화"
25,"TEXT_BANNAM404_03112_TODO_01","<hex:0208F20798E4E8050AFFA3><hex:02089FE3E802E803FF39>제작수첩 우호부족 퀘스트:<hex:02280AFF05>Item<hex:E8060103> 제작<hex:FF5E>여명의 옥좌에 있는 긴털들소를 기르는 유목민에게 <hex:02100103><hex:02280AFF05>Item<hex:E8060103> 납품<hex:03><hex:FFF206EC><hex:0208F206E6E4E8050BFFA3><hex:02089FE3E802E803FF39>제작수첩 우호부족 퀘스트:<hex:02280AFF05>Item<hex:E8060103> 제작<hex:FF5E>여명의 옥좌에 있는 긴털들소를 기르는 유목민에게 <hex:02100103><hex:02280AFF05>Item<hex:E8060103> 납품<hex:03><hex:FFF2063A><hex:0208F20634E4E8050CFFA3><hex:02089FE3E802E803FF39>제작수첩 우호부족 퀘스트:<hex:02280AFF05>Item<hex:E8060103> 제작<hex:FF5E>여명의 옥좌에 있는 긴털들소를 기르는 유목민에게 <hex:02100103><hex:02280AFF05>Item<hex:E8060103> 납품<hex:03><hex:FFF20588><hex:0208F20582E4E80509FFA3><hex:02089FE3E802E803FF39>제작수첩 우호부족 퀘스트:<hex:02280AFF05>Item<hex:E8060103> 제작<hex:FF5E>여명의 옥좌에 있는 긴털들소를 기르는 유목민에게 <hex:02100103><hex:02280AFF05>Item<hex:E8060103> 납품<hex:03><hex:FFF204D6><hex:0208F204D0E4E8050DFFA3><hex:02089FE3E802E803FF39>제작수첩 우호부족 퀘스트:<hex:02280AFF05>Item<hex:E8060103> 제작<hex:FF5E>여명의 옥좌에 있는 긴털들소를 기르는 유목민에게 <hex:02100103><hex:02280AFF05>Item<hex:E8060103> 납품<hex:03><hex:FFF20424><hex:0208F2041EE4E8050EFFA3><hex:02089FE3E802E803FF39>제작수첩 우호부족 퀘스트:<hex:02280AFF05>Item<hex:E8060103> 제작<hex:FF5E>여명의 옥좌에 있는 긴털들소를 기르는 유목민에게 <hex:02100103><hex:02280AFF05>Item<hex:E8060103> 납품<hex:03><hex:FFF20372><hex:0208F2036CE4E8050FFFA3><hex:02089FE3E802E803FF39>제작수첩 우호부족 퀘스트:<hex:02280AFF05>Item<hex:E8060103> 제작<hex:FF5E>여명의 옥좌에 있는 긴털들소를 기르는 유목민에게 <hex:02100103><hex:02280AFF05>Item<hex:E8060103> 납품<hex:03><hex:FFF202C0><hex:0208F202BAE4E80510FFA3><hex:02089FE3E802E803FF39>제작수첩 우호부족 퀘스트:<hex:02280AFF05>Item<hex:E8060103> 제작<hex:FF5E>여명의 옥좌에 있는 긴털들소를 기르는 유목민에게 <hex:02100103><hex:02280AFF05>Item<hex:E8060103> 납품<hex:03><hex:FFF2020E><hex:0208F20208E4E80511FFAA><hex:0208A6E3E802E803FF40>여명의 옥좌 북동쪽 바위터에서 <hex:02280AFF05>Item<hex:E8060103> 캐기<hex:FF5E>여명의 옥좌에 있는 긴털들소를 기르는 유목민에게 <hex:02100103><hex:02280AFF05>Item<hex:E8060103> 납품<hex:03><hex:FFF20155><hex:0208F2014FE4E80512FFAA><hex:0208A6E3E802E803FF40>여명의 옥좌 북동쪽 약초밭에서 <hex:02280AFF05>Item<hex:E8060103> 채집<hex:FF5E>여명의 옥좌에 있는 긴털들소를 기르는 유목민에게 <hex:02100103><hex:02280AFF05>Item<hex:E8060103> 납품<hex:03><hex:FF9F><hex:02089BE4E80513FF93><hex:02088FE3E802E803FF29>아짐 카트에서 <hex:02280AFF05>Item<hex:E8060103> 낚기<hex:FF5E>여명의 옥좌에 있는 긴털들소를 기르는 유목민에게 <hex:02100103><hex:02280AFF05>Item<hex:E8060103> 납품<hex:03><hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03>"
26,"TEXT_BANNAM404_03112_TODO_02","광풍원 세이게츠에게 <hex:022811FF0A>EventItem<hex:F61E8E2C0103> 전달"
27,"TEXT_BANNAM404_03112_TODO_03",""
28,"TEXT_BANNAM404_03112_TODO_04",""
29,"TEXT_BANNAM404_03112_TODO_05",""
30,"TEXT_BANNAM404_03112_TODO_06",""
31,"TEXT_BANNAM404_03112_TODO_07",""
32,"TEXT_BANNAM404_03112_TODO_08",""
33,"TEXT_BANNAM404_03112_TODO_09",""
34,"TEXT_BANNAM404_03112_TODO_10",""
35,"TEXT_BANNAM404_03112_TODO_11",""
36,"TEXT_BANNAM404_03112_TODO_12",""
37,"TEXT_BANNAM404_03112_TODO_13",""
38,"TEXT_BANNAM404_03112_TODO_14",""
39,"TEXT_BANNAM404_03112_TODO_15",""
40,"TEXT_BANNAM404_03112_TODO_16",""
41,"TEXT_BANNAM404_03112_TODO_17",""
42,"TEXT_BANNAM404_03112_TODO_18",""
43,"TEXT_BANNAM404_03112_TODO_19",""
