key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_LUCKZJ015_03578_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>특수 규칙:  레벨 보정<hex:0249020103><hex:0248020103><hex:02100103>온도 바다웅덩이에 있는 케우쉬 온은 불안해 보인다."
1,"TEXT_LUCKZJ015_03578_SEQ_01",""
2,"TEXT_LUCKZJ015_03578_SEQ_02",""
3,"TEXT_LUCKZJ015_03578_SEQ_03",""
4,"TEXT_LUCKZJ015_03578_SEQ_04",""
5,"TEXT_LUCKZJ015_03578_SEQ_05",""
6,"TEXT_LUCKZJ015_03578_SEQ_06",""
7,"TEXT_LUCKZJ015_03578_SEQ_07",""
8,"TEXT_LUCKZJ015_03578_SEQ_08",""
9,"TEXT_LUCKZJ015_03578_SEQ_09",""
10,"TEXT_LUCKZJ015_03578_SEQ_10",""
11,"TEXT_LUCKZJ015_03578_SEQ_11",""
12,"TEXT_LUCKZJ015_03578_SEQ_12",""
13,"TEXT_LUCKZJ015_03578_SEQ_13",""
14,"TEXT_LUCKZJ015_03578_SEQ_14",""
15,"TEXT_LUCKZJ015_03578_SEQ_15",""
16,"TEXT_LUCKZJ015_03578_SEQ_16",""
17,"TEXT_LUCKZJ015_03578_SEQ_17",""
18,"TEXT_LUCKZJ015_03578_SEQ_18",""
19,"TEXT_LUCKZJ015_03578_SEQ_19",""
20,"TEXT_LUCKZJ015_03578_SEQ_20",""
21,"TEXT_LUCKZJ015_03578_SEQ_21",""
22,"TEXT_LUCKZJ015_03578_SEQ_22",""
23,"TEXT_LUCKZJ015_03578_SEQ_23",""
24,"TEXT_LUCKZJ015_03578_TODO_00","온도족 어부 구조"
25,"TEXT_LUCKZJ015_03578_TODO_01","케우쉬 온에게 <hex:022811FF0A>EventItem<hex:F61E8F930103> 전달"
26,"TEXT_LUCKZJ015_03578_TODO_02",""
27,"TEXT_LUCKZJ015_03578_TODO_03",""
28,"TEXT_LUCKZJ015_03578_TODO_04",""
29,"TEXT_LUCKZJ015_03578_TODO_05",""
30,"TEXT_LUCKZJ015_03578_TODO_06",""
31,"TEXT_LUCKZJ015_03578_TODO_07",""
32,"TEXT_LUCKZJ015_03578_TODO_08",""
33,"TEXT_LUCKZJ015_03578_TODO_09",""
34,"TEXT_LUCKZJ015_03578_TODO_10",""
35,"TEXT_LUCKZJ015_03578_TODO_11",""
36,"TEXT_LUCKZJ015_03578_TODO_12",""
37,"TEXT_LUCKZJ015_03578_TODO_13",""
38,"TEXT_LUCKZJ015_03578_TODO_14",""
39,"TEXT_LUCKZJ015_03578_TODO_15",""
40,"TEXT_LUCKZJ015_03578_TODO_16",""
41,"TEXT_LUCKZJ015_03578_TODO_17",""
42,"TEXT_LUCKZJ015_03578_TODO_18",""
43,"TEXT_LUCKZJ015_03578_TODO_19",""
44,"TEXT_LUCKZJ015_03578_TODO_20",""
45,"TEXT_LUCKZJ015_03578_TODO_21",""
46,"TEXT_LUCKZJ015_03578_TODO_22",""
47,"TEXT_LUCKZJ015_03578_TODO_23",""
48,"TEXT_LUCKZJ015_03578_KEWSHSOOAN_000_000","지느러미도 물갈퀴도 없는, 인간 손님.<hex:02100103>내 부탁, 들어주겠나?"
49,"TEXT_LUCKZJ015_03578_KEWSHSOOAN_000_001","식량 조달하러 간 온도족 어부, 한참 안 돌아온다.<hex:02100103>물 없는 상황 곤란한데, 다친 곳 없는지 걱정되는군.<hex:02100103>발을 능숙하게 사용하는 당신, 보고 와줬으면 좋겠다."
50,"TEXT_LUCKZJ015_03578_KEWSHSOOAN_000_002","아까 말한 '온도족 어부',<hex:02100103>'노르브란트 대륙 사면' 북쪽, 있을 거야.<hex:02100103>귀찮게 해서 미안하지만, 잘 부탁한다."
51,"TEXT_LUCKZJ015_03578_KEWSHSOOAN_000_005","식량 조달하러 간 온도족 어부, 한참 안 돌아온다.<hex:02100103>'노르브란트 대륙 사면' 북쪽, 있을 거야.<hex:02100103>난처한 상황이면, 당신이 도와줘."
52,"TEXT_LUCKZJ015_03578_ONDOFISHER03578_000_010","그윽, 그으윽……!<hex:02100103>가자미파 녀석……!"
53,"TEXT_LUCKZJ015_03578_ONDOFISHER03578_000_011","…………앗!<hex:02100103>이, 인간, 왜 이런 곳에 있지?"
54,"TEXT_LUCKZJ015_03578_ONDOFISHER03578_000_012","아아, 케우쉬 온, 걱정하는구나.<hex:02100103>실은 작살질로 잡은 식량,<hex:02100103>가자미파한테 빼앗겨서, 망연자실했다……."
55,"TEXT_LUCKZJ015_03578_ONDOFISHER03578_000_013","가자미파, 난폭한 온도족……<hex:02100103>머릿수 많아서, 되찾아오지 못했어. 한심하다.<hex:02100103>식량, 빼앗긴 만큼 다시 잡지 못하면 못 돌아가."
56,"TEXT_LUCKZJ015_03578_ONDOFISHER03578_000_014","'<hex:022811FF0A>EventItem<hex:F61E8F930103>', 조금은 지켜냈는데<hex:02100103>이거 '케우쉬 온'한테 갖다줘.<hex:02100103>나는 아직 못 돌아가니까, 대신 부탁해."
57,"TEXT_LUCKZJ015_03578_ONDOFISHER03578_000_020","'<hex:022811FF0A>EventItem<hex:F61E8F930103>', 조금은 지켜냈는데<hex:02100103>이거 '케우쉬 온'한테 갖다줘.<hex:02100103>나는 아직 못 돌아가니까, 대신 부탁해."
58,"TEXT_LUCKZJ015_03578_KEWSHSOOAN_000_030","오오, 인간 손님. 온도족 어부, 뭐 하고 있던가?<hex:02100103>같이 돌아온 거, 아니고?<hex:02100103>무슨 일 있었지?"
59,"TEXT_LUCKZJ015_03578_KEWSHSOOAN_000_031","뭐라고? 가자미파 공격 받고<hex:02100103>겨우 남은 식량, 갖다주라고 했다고?<hex:02100103>녀석도 참. 제 잘못도 아닌데, 상의하면 될 것을."
60,"TEXT_LUCKZJ015_03578_KEWSHSOOAN_000_032","바닷물 빠져서, 가자미파도 식량 조달 곤란할 거다.<hex:02100103>그렇다고 약탈 같은 횡포, 용납할 수 없지만…….<hex:02100103>언젠가 화해할 방법, 있으면 좋겠구나."
61,"TEXT_LUCKZJ015_03578_KEWSHSOOAN_000_033","고향을 잃은 건 우리도, 가자미파도, 인간도, 모두 마찬가지.<hex:02100103>하지만 상실의 슬픔에 젖어, 해저에 매달려 있기만 하면<hex:02100103>아무것도 바뀌지 않는다는 거, 인간 손님에게 배웠다."
62,"TEXT_LUCKZJ015_03578_KEWSHSOOAN_000_034","아무튼 인간 손님, 중간에서 애써줘서 고맙다.<hex:02100103>이거, 사례 받아다오."
